league,out,ok,seconds,returncode,stdout_tail,stderr_tail
2. Bundesliga,reports/backtest_2bundesliga_fullseason.csv,True,3444.8,0,,"909 [INFO] [66/73] Running backtest for 2026-02-15...
2026-03-07 22:12:29,507 [INFO] [67/73] Running backtest for 2026-02-20...
2026-03-07 22:13:21,322 [INFO] [68/73] Running backtest for 2026-02-21...
2026-03-07 22:14:15,066 [INFO] [69/73] Running backtest for 2026-02-22...
2026-03-07 22:15:10,956 [INFO] [70/73] Running backtest for 2026-02-27...
2026-03-07 22:16:01,364 [INFO] [71/73] Running backtest for 2026-02-28...
2026-03-07 22:16:53,272 [INFO] [72/73] Running backtest for 2026-03-01...
2026-03-07 22:17:44,336 [INFO] [73/73] Running backtest for 2026-03-06...
2026-03-07 22:18:37,448 [INFO] Aggregating results...
C:\BOTS\AIFootballPredictions\scripts\run_backtest.py:229: FutureWarning: The behavior of DataFrame concatenation with empty or all-NA entries is deprecated. In a future version, this will no longer exclude empty or all-NA columns when determining the result dtypes. To retain the old behavior, exclude the relevant entries before the concat operation.
  full_preds = pd.concat(all_preds, ignore_index=True)
2026-03-07 22:18:37,742 [INFO] Backtest complete. Saved to reports/backtest_2bundesliga_fullseason.csv
2026-03-07 22:18:37,753 [INFO] Matches with known results: 200
"
Bundesliga,reports/backtest_bundesliga_fullseason.csv,True,3786.7,0,,",044 [INFO] [68/75] Running backtest for 2026-02-20...
2026-03-07 22:17:51,130 [INFO] [69/75] Running backtest for 2026-02-21...
2026-03-07 22:18:45,119 [INFO] [70/75] Running backtest for 2026-02-22...
2026-03-07 22:19:40,717 [INFO] [71/75] Running backtest for 2026-02-27...
2026-03-07 22:20:36,060 [INFO] [72/75] Running backtest for 2026-02-28...
2026-03-07 22:21:28,020 [INFO] [73/75] Running backtest for 2026-03-01...
2026-03-07 22:22:28,184 [INFO] [74/75] Running backtest for 2026-03-04...
2026-03-07 22:23:24,866 [INFO] [75/75] Running backtest for 2026-03-06...
2026-03-07 22:24:19,163 [INFO] Aggregating results...
C:\BOTS\AIFootballPredictions\scripts\run_backtest.py:229: FutureWarning: The behavior of DataFrame concatenation with empty or all-NA entries is deprecated. In a future version, this will no longer exclude empty or all-NA columns when determining the result dtypes. To retain the old behavior, exclude the relevant entries before the concat operation.
  full_preds = pd.concat(all_preds, ignore_index=True)
2026-03-07 22:24:19,552 [INFO] Backtest complete. Saved to reports/backtest_bundesliga_fullseason.csv
2026-03-07 22:24:19,602 [INFO] Matches with known results: 199
"
Premier League,reports/backtest_premier_fullseason.csv,True,4110.8,0,,":15,519 [INFO] [76/83] Running backtest for 2026-02-22...
2026-03-07 22:23:10,573 [INFO] [77/83] Running backtest for 2026-02-23...
2026-03-07 22:24:07,319 [INFO] [78/83] Running backtest for 2026-02-27...
2026-03-07 22:25:02,949 [INFO] [79/83] Running backtest for 2026-02-28...
2026-03-07 22:25:58,646 [INFO] [80/83] Running backtest for 2026-03-01...
2026-03-07 22:26:55,844 [INFO] [81/83] Running backtest for 2026-03-03...
2026-03-07 22:27:52,324 [INFO] [82/83] Running backtest for 2026-03-04...
2026-03-07 22:28:49,335 [INFO] [83/83] Running backtest for 2026-03-05...
2026-03-07 22:29:42,799 [INFO] Aggregating results...
C:\BOTS\AIFootballPredictions\scripts\run_backtest.py:229: FutureWarning: The behavior of DataFrame concatenation with empty or all-NA entries is deprecated. In a future version, this will no longer exclude empty or all-NA columns when determining the result dtypes. To retain the old behavior, exclude the relevant entries before the concat operation.
  full_preds = pd.concat(all_preds, ignore_index=True)
2026-03-07 22:29:43,196 [INFO] Backtest complete. Saved to reports/backtest_premier_fullseason.csv
2026-03-07 22:29:43,229 [INFO] Matches with known results: 271
"
Championship,reports/backtest_championship_fullseason.csv,True,4372.4,0,,"62 [INFO] [81/88] Running backtest for 2026-02-22...
2026-03-07 22:27:30,342 [INFO] [82/88] Running backtest for 2026-02-24...
2026-03-07 22:28:35,357 [INFO] [83/88] Running backtest for 2026-02-25...
2026-03-07 22:29:29,856 [INFO] [84/88] Running backtest for 2026-02-27...
2026-03-07 22:30:24,921 [INFO] [85/88] Running backtest for 2026-02-28...
2026-03-07 22:31:24,100 [INFO] [86/88] Running backtest for 2026-03-02...
2026-03-07 22:32:19,265 [INFO] [87/88] Running backtest for 2026-03-03...
2026-03-07 22:33:11,554 [INFO] [88/88] Running backtest for 2026-03-06...
2026-03-07 22:34:04,767 [INFO] Aggregating results...
C:\BOTS\AIFootballPredictions\scripts\run_backtest.py:229: FutureWarning: The behavior of DataFrame concatenation with empty or all-NA entries is deprecated. In a future version, this will no longer exclude empty or all-NA columns when determining the result dtypes. To retain the old behavior, exclude the relevant entries before the concat operation.
  full_preds = pd.concat(all_preds, ignore_index=True)
2026-03-07 22:34:05,146 [INFO] Backtest complete. Saved to reports/backtest_championship_fullseason.csv
2026-03-07 22:34:05,156 [INFO] Matches with known results: 396
"
Serie B,reports/backtest_serieb_fullseason.csv,True,4518.9,0,,"7:35,721 [INFO] [70/77] Running backtest for 2026-02-20...
2026-03-07 23:29:04,248 [INFO] [71/77] Running backtest for 2026-02-21...
2026-03-07 23:30:34,140 [INFO] [72/77] Running backtest for 2026-02-22...
2026-03-07 23:32:11,288 [INFO] [73/77] Running backtest for 2026-02-27...
2026-03-07 23:33:34,907 [INFO] [74/77] Running backtest for 2026-02-28...
2026-03-07 23:35:05,801 [INFO] [75/77] Running backtest for 2026-03-01...
2026-03-07 23:36:37,804 [INFO] [76/77] Running backtest for 2026-03-03...
2026-03-07 23:38:05,651 [INFO] [77/77] Running backtest for 2026-03-04...
2026-03-07 23:39:36,462 [INFO] Aggregating results...
C:\BOTS\AIFootballPredictions\scripts\run_backtest.py:229: FutureWarning: The behavior of DataFrame concatenation with empty or all-NA entries is deprecated. In a future version, this will no longer exclude empty or all-NA columns when determining the result dtypes. To retain the old behavior, exclude the relevant entries before the concat operation.
  full_preds = pd.concat(all_preds, ignore_index=True)
2026-03-07 23:39:37,329 [INFO] Backtest complete. Saved to reports/backtest_serieb_fullseason.csv
2026-03-07 23:39:37,342 [INFO] Matches with known results: 256
"
Ligue 1,reports/backtest_ligue1_fullseason.csv,True,4262.4,0,,"2:58,560 [INFO] [64/71] Running backtest for 2026-02-15...
2026-03-07 23:34:26,438 [INFO] [65/71] Running backtest for 2026-02-20...
2026-03-07 23:36:00,162 [INFO] [66/71] Running backtest for 2026-02-21...
2026-03-07 23:37:28,249 [INFO] [67/71] Running backtest for 2026-02-22...
2026-03-07 23:38:51,986 [INFO] [68/71] Running backtest for 2026-02-27...
2026-03-07 23:40:20,621 [INFO] [69/71] Running backtest for 2026-02-28...
2026-03-07 23:41:58,817 [INFO] [70/71] Running backtest for 2026-03-01...
2026-03-07 23:43:29,433 [INFO] [71/71] Running backtest for 2026-03-06...
2026-03-07 23:45:03,973 [INFO] Aggregating results...
C:\BOTS\AIFootballPredictions\scripts\run_backtest.py:229: FutureWarning: The behavior of DataFrame concatenation with empty or all-NA entries is deprecated. In a future version, this will no longer exclude empty or all-NA columns when determining the result dtypes. To retain the old behavior, exclude the relevant entries before the concat operation.
  full_preds = pd.concat(all_preds, ignore_index=True)
2026-03-07 23:45:05,185 [INFO] Backtest complete. Saved to reports/backtest_ligue1_fullseason.csv
2026-03-07 23:45:05,200 [INFO] Matches with known results: 197
"
Serie A,reports/backtest_serie_a_fullseason.csv,True,5953.7,0,,":33,210 [INFO] [88/95] Running backtest for 2026-02-21...
2026-03-07 23:47:01,131 [INFO] [89/95] Running backtest for 2026-02-22...
2026-03-07 23:48:33,358 [INFO] [90/95] Running backtest for 2026-02-23...
2026-03-07 23:50:00,852 [INFO] [91/95] Running backtest for 2026-02-27...
2026-03-07 23:51:49,216 [INFO] [92/95] Running backtest for 2026-02-28...
2026-03-07 23:53:26,883 [INFO] [93/95] Running backtest for 2026-03-01...
2026-03-07 23:54:53,367 [INFO] [94/95] Running backtest for 2026-03-02...
2026-03-07 23:56:21,515 [INFO] [95/95] Running backtest for 2026-03-06...
2026-03-07 23:57:49,594 [INFO] Aggregating results...
C:\BOTS\AIFootballPredictions\scripts\run_backtest.py:229: FutureWarning: The behavior of DataFrame concatenation with empty or all-NA entries is deprecated. In a future version, this will no longer exclude empty or all-NA columns when determining the result dtypes. To retain the old behavior, exclude the relevant entries before the concat operation.
  full_preds = pd.concat(all_preds, ignore_index=True)
2026-03-07 23:57:50,359 [INFO] Backtest complete. Saved to reports/backtest_serie_a_fullseason.csv
2026-03-07 23:57:50,371 [INFO] Matches with known results: 247
"
La Liga,reports/backtest_laliga_fullseason.csv,True,7044.1,0,,"] [98/105] Running backtest for 2026-02-22...
2026-03-08 00:16:38,083 [INFO] [99/105] Running backtest for 2026-02-23...
2026-03-08 00:18:13,393 [INFO] [100/105] Running backtest for 2026-02-27...
2026-03-08 00:19:42,177 [INFO] [101/105] Running backtest for 2026-02-28...
2026-03-08 00:21:12,130 [INFO] [102/105] Running backtest for 2026-03-01...
2026-03-08 00:22:38,925 [INFO] [103/105] Running backtest for 2026-03-02...
2026-03-08 00:24:09,085 [INFO] [104/105] Running backtest for 2026-03-04...
2026-03-08 00:25:34,756 [INFO] [105/105] Running backtest for 2026-03-06...
2026-03-08 00:27:06,009 [INFO] Aggregating results...
C:\BOTS\AIFootballPredictions\scripts\run_backtest.py:229: FutureWarning: The behavior of DataFrame concatenation with empty or all-NA entries is deprecated. In a future version, this will no longer exclude empty or all-NA columns when determining the result dtypes. To retain the old behavior, exclude the relevant entries before the concat operation.
  full_preds = pd.concat(all_preds, ignore_index=True)
2026-03-08 00:27:06,735 [INFO] Backtest complete. Saved to reports/backtest_laliga_fullseason.csv
2026-03-08 00:27:06,747 [INFO] Matches with known results: 236
"
Ligue 2,reports/backtest_ligue2_fullseason.csv,True,5259.1,0,,"5:35,606 [INFO] [59/66] Running backtest for 2026-02-16...
2026-03-08 00:57:02,989 [INFO] [60/66] Running backtest for 2026-02-20...
2026-03-08 00:58:31,327 [INFO] [61/66] Running backtest for 2026-02-21...
2026-03-08 01:00:00,055 [INFO] [62/66] Running backtest for 2026-02-23...
2026-03-08 01:01:27,932 [INFO] [63/66] Running backtest for 2026-02-27...
2026-03-08 01:02:56,614 [INFO] [64/66] Running backtest for 2026-02-28...
2026-03-08 01:04:23,071 [INFO] [65/66] Running backtest for 2026-03-02...
2026-03-08 01:05:48,018 [INFO] [66/66] Running backtest for 2026-03-06...
2026-03-08 01:07:16,482 [INFO] Aggregating results...
C:\BOTS\AIFootballPredictions\scripts\run_backtest.py:229: FutureWarning: The behavior of DataFrame concatenation with empty or all-NA entries is deprecated. In a future version, this will no longer exclude empty or all-NA columns when determining the result dtypes. To retain the old behavior, exclude the relevant entries before the concat operation.
  full_preds = pd.concat(all_preds, ignore_index=True)
2026-03-08 01:07:17,007 [INFO] Backtest complete. Saved to reports/backtest_ligue2_fullseason.csv
2026-03-08 01:07:17,017 [INFO] Matches with known results: 210
"
S?per Lig,reports/backtest_super_lig_fullseason.csv,True,3.6,0,,"2026-03-08 01:07:21,059 [INFO] Loading history from data\enhanced\cgm_match_history_with_elo_stats_xg.csv...
2026-03-08 01:07:21,258 [ERROR] No matches found for S?per Lig 2025-2026 after 2025-08-08
"
