fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_home_raw,mu_away_raw,mu_goal_multiplier,mu_total,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-02-27T20:00:00,2026-02-27,Championship,England,2025-2026,Bristol City,Watford,full,2026-02-26T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.027793288230896,1.151280641555786,1.027793288230896,1.151280641555786,1.0,2.179073929786682,0.3716698324207935,0.6283301675792065,0.3716698324207935,0.6283301675792065,OU25_OVER,,,,,,,0.439119090903304,0.560880909096696,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,15.603879469879908,14.86161258033638,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-27,2026-02-27,2026-02-27,1,2,
2026-02-28T12:30:00,2026-02-28,Championship,England,2025-2026,Portsmouth,Hull City,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,10,10,10,10,10,10,10,10,10,0.7924622893333435,1.1596956253051758,0.7924622893333435,1.1596956253051758,1.0,1.9521579146385195,0.3103765936944962,0.6896234063055038,0.3103765936944962,0.6896234063055038,OU25_UNDER,,,,,,,0.3756571018808573,0.6243428981191427,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,14.684767969506726,13.744485201660831,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,0,1,
2026-02-28T12:30:00,2026-02-28,Championship,England,2025-2026,Leicester,Norwich,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,10,10,10,10,10,10,10,10,10,0.624234139919281,1.164400339126587,0.624234139919281,1.164400339126587,1.0,1.788634479045868,0.2663373223530062,0.7336626776469938,0.2663373223530062,0.7336626776469938,OU25_UNDER,,,,,,,0.3194070261701066,0.6805929738298934,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,15.459887570631912,14.571706165162643,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,0,2,
2026-02-28T12:30:00,2026-02-28,Championship,England,2025-2026,Derby,Blackburn,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,10,10,10,10,10,10,10,10,10,1.0524203777313232,0.7489442825317383,1.0524203777313232,0.7489442825317383,1.0,1.8013646602630615,0.2697443588226754,0.7302556411773247,0.2697443588226754,0.7302556411773247,OU25_UNDER,,,,,,,0.3431161717977774,0.6568838282022226,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,15.521407249041996,14.326978008797887,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,3,1,
2026-02-28T15:00:00,2026-02-28,Championship,England,2025-2026,Charlton,Wrexham,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,10,10,10,10,10,10,10,10,10,0.8102149963378906,1.3573297262191772,0.8102149963378906,1.3573297262191772,1.0,2.167544722557068,0.368571149538912,0.631428850461088,0.368571149538912,0.631428850461088,OU25_OVER,,,,,,,0.4123488180709251,0.5876511819290748,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,14.481267351200534,14.0688820207575,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,0,1,
2026-02-28T15:00:00,2026-02-28,Championship,England,2025-2026,Oxford United,West Brom,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,10,10,10,10,10,10,10,10,10,1.1369645595550537,1.0625134706497192,1.1369645595550537,1.0625134706497192,1.0,2.199478030204773,0.3771462289039446,0.6228537710960553,0.3771462289039446,0.6228537710960553,OU25_OVER,,,,,,,0.4444836237926329,0.555516376207367,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,9.86817956581381,12.64314523863952,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,2,1,
2026-02-28T15:00:00,2026-02-28,Championship,England,2025-2026,Coventry,Stoke City,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,10,10,10,10,10,10,10,10,10,1.4289182424545288,0.5801740288734436,1.4289182424545288,0.5801740288734436,1.0,2.0090922713279724,0.3257842320869215,0.6742157679130785,0.3257842320869215,0.6742157679130785,OU25_OVER,,,,,,,0.3347414821409906,0.6652585178590094,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,14.837880230510018,10.238167429694728,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,2,1,
2026-02-28T15:00:00,2026-02-28,Championship,England,2025-2026,Ipswich,Swansea,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,10,10,10,10,10,10,10,10,10,1.4082918167114258,0.9929983615875244,1.4082918167114258,0.9929983615875244,1.0,2.40129017829895,0.4306279900657345,0.5693720099342655,0.4306279900657345,0.5693720099342655,OU25_OVER,,,,,,,0.4755760670547754,0.5244239329452245,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,14.116376670152883,13.395979968095444,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,3,0,
2026-02-28T15:00:00,2026-02-28,Championship,England,2025-2026,Preston,Millwall,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,10,10,10,10,10,10,10,10,10,0.7254422307014465,1.2712093591690063,0.7254422307014465,1.2712093591690063,1.0,1.9966515898704529,0.3224171582357287,0.6775828417642713,0.3224171582357287,0.6775828417642713,OU25_OVER,,,,,,,0.3711865669191825,0.6288134330808175,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,14.633110191718464,14.38776278740088,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,0,2,
2026-02-28T15:00:00,2026-02-28,Championship,England,2025-2026,QPR,Sheffield Utd,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,10,10,10,10,10,10,10,10,10,0.6041504144668579,1.3815957307815552,0.6041504144668579,1.3815957307815552,1.0,1.985746145248413,0.3194653017219709,0.6805346982780291,0.3194653017219709,0.6805346982780291,OU25_UNDER,,,,,,,0.3395621641989366,0.6604378358010634,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,14.013657002400889,16.018671972885535,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,0,2,
2026-02-28T15:00:00,2026-02-28,Championship,England,2025-2026,Sheffield Wednesday,Southampton,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,10,10,10,10,10,10,10,10,10,0.3048574328422546,1.1950265169143677,0.3048574328422546,1.1950265169143677,1.0,1.4998839497566223,0.1911239792010055,0.8088760207989945,0.1911239792010055,0.8088760207989945,OU25_UNDER,,,,,,,0.1832316569791256,0.8167683430208743,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,15.502206406834684,6.731770150530539,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,1,3,
