fixture_datetime,date,league,country,season,home,away,model_variant,mu_engine_mode,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_home_raw,mu_away_raw,mu_goal_multiplier,mu_anchor_home,mu_anchor_away,mu_elo_home,mu_elo_away,mu_xg_home,mu_xg_away,mu_pressure_home,mu_pressure_away,mu_weight_anchor,mu_weight_elo,mu_weight_xg,mu_weight_pressure,poisson_v2_enabled,poisson_v2_disp_alpha,poisson_v2_dep_strength,poisson_v2_dc_rho,mu_total,elo_hfa_used,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,quality_status,quality_critical,quality_issue_count,quality_flags,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2025-08-02T19:00:00,2025-08-02,Serie A Brazil,Brazil,2025-2026,Sport Recife,Bahia,full,strict_module_weights_v1,2025-08-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,2.0581671454294623,1.6432459352168711,1.210686556134978,0.9666152560099242,1.7,1.3734177215189871,0.879746835443038,0.7809525641958727,1.3006614538850787,1.1307223552083494,0.8949202786734181,1.2021744892228343,1.0436812271033864,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.7014130806463337,56.0,0.6906511157245352,0.3093488842754648,0.6906511157245352,0.3093488842754648,OU25_OVER,,,,,,,0.6833852900371535,0.3166147099628464,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,6.1875269866287885,3.048666718874025,7.0,7.0,7.0,7.0,0,0,0,0,0,0,2025-08-02,2025-08-02,2025-08-02,0,0,
2025-08-02T21:30:00,2025-08-02,Serie A Brazil,Brazil,2025-2026,Mirassol,Vasco DA Gama,full,strict_module_weights_v1,2025-08-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,2.3774562718808454,1.6119299464669072,1.3985036893416738,0.9481940861570044,1.7,1.3734177215189871,0.879746835443038,1.9498836032354787,0.8726087821269042,1.4043961926138682,0.9645363313322112,1.2121967690282551,1.071601563736183,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.989386218347753,56.0,0.7342105454292144,0.2657894545707856,0.7342105454292144,0.2657894545707856,OU25_OVER,,,,,,,0.7047966939270657,0.2952033060729343,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,6.814229226599903,6.516176771937717,7.0,7.0,7.0,7.0,0,0,0,0,0,0,2025-08-02,2025-08-02,2025-08-02,3,2,
2025-08-03T00:00:00,2025-08-03,Serie A Brazil,Brazil,2025-2026,Fluminense,Gremio,full,strict_module_weights_v1,2025-08-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,2.341750018499307,1.5795550607847697,1.3775000108819455,0.929150035755747,1.7,1.3734177215189871,0.879746835443038,1.6949805328120031,0.8882709345118946,1.262962081230407,1.0436419389747955,1.3715773947421943,0.910054893534573,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.921305079284077,56.0,0.7243975193626647,0.2756024806373353,0.7243975193626647,0.2756024806373353,OU25_OVER,,,,,,,0.6965876943868219,0.3034123056131781,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,6.113501571764795,7.435630066446259,7.0,8.0,7.0,8.0,0,0,0,0,0,0,2025-08-03,2025-08-03,2025-08-03,1,0,
2025-08-03T19:00:00,2025-08-03,Serie A Brazil,Brazil,2025-2026,Botafogo,Cruzeiro,full,strict_module_weights_v1,2025-08-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,2.383045791831952,1.4997147161514195,1.4017916422540897,0.882185127147894,1.7,1.3734177215189871,0.879746835443038,1.5573615782417412,0.8003755014569947,1.5077873485700608,0.7980559774108056,1.2789662347192217,1.0029393938891118,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.882760507983372,56.0,0.7186299430563498,0.2813700569436502,0.7186299430563498,0.2813700569436502,OU25_OVER,,,,,,,0.684800254596441,0.315199745403559,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,5.592945424604392,6.400187682280853,7.0,8.0,7.0,8.0,0,0,0,0,0,0,2025-08-03,2025-08-03,2025-08-03,0,2,
2025-08-03T19:00:00,2025-08-03,Serie A Brazil,Brazil,2025-2026,Corinthians,Fortaleza EC,full,strict_module_weights_v1,2025-08-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,2.4708958005393646,1.4275468842239674,1.453468117964332,0.8397334613082161,1.7,1.3734177215189871,0.879746835443038,1.438312993302456,0.6426549477643595,1.7258925680511932,0.7465898779257674,1.315186352054773,0.9476870514924924,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.898442684763332,56.0,0.7209360838733174,0.2790639161266826,0.7209360838733174,0.2790639161266826,OU25_OVER,,,,,,,0.6760233301210326,0.3239766698789674,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,6.285599639948861,6.393591145214761,8.0,7.0,8.0,7.0,0,0,0,0,0,0,2025-08-03,2025-08-03,2025-08-03,1,1,
2025-08-03T21:30:00,2025-08-03,Serie A Brazil,Brazil,2025-2026,Atletico-MG,RB Bragantino,full,strict_module_weights_v1,2025-08-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,2.2624887100855515,1.508524823256386,1.3308757118150305,0.8873675430919917,1.7,1.3734177215189871,0.879746835443038,1.1433401267349206,0.9974792141051908,1.2005823553001682,0.8850724988823614,1.468116086835605,0.8578110511346683,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.7710135333419377,56.0,0.7016610940225775,0.2983389059774225,0.7016610940225775,0.2983389059774225,OU25_OVER,,,,,,,0.6777284356701132,0.3222715643298868,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,5.866752296564009,7.536456613863104,6.0,8.0,6.0,8.0,0,0,0,0,0,0,2025-08-03,2025-08-03,2025-08-03,2,1,
2025-08-03T21:30:00,2025-08-03,Serie A Brazil,Brazil,2025-2026,Ceara,Flamengo,full,strict_module_weights_v1,2025-08-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,2.08106045604085,1.6835566483405635,1.224153209435794,0.9903274402003316,1.7,1.3734177215189871,0.879746835443038,0.8126486132068875,1.0611539742187466,1.2504748348176349,0.9472380658013548,1.1236102032124071,1.1820151686036118,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.764617104381413,56.0,0.7006889849614809,0.2993110150385191,0.7006889849614809,0.2993110150385191,OU25_OVER,,,,,,,0.6919097519626126,0.3080902480373874,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.903605536401931,6.389541748665345,8.0,7.0,8.0,7.0,0,0,0,0,0,0,2025-08-03,2025-08-03,2025-08-03,1,1,
2025-08-03T22:30:00,2025-08-03,Serie A Brazil,Brazil,2025-2026,Vitoria,Palmeiras,full,strict_module_weights_v1,2025-08-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,2.0548665507244865,1.7115998958245613,1.2087450298379332,1.006823468132095,1.7,1.3734177215189871,0.879746835443038,0.8599828958115516,1.1442144199677409,1.2065564777171494,1.0053286167480664,1.0869621288795834,1.1566845510843555,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.766466446549048,56.0,0.7009583599762612,0.2990416400237388,0.7009583599762612,0.2990416400237388,OU25_OVER,,,,,,,0.6936072854945494,0.3063927145054506,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,5.482417294901988,6.256111828060799,8.0,7.0,8.0,7.0,0,0,0,0,0,0,2025-08-03,2025-08-03,2025-08-03,2,2,
2025-08-03T23:30:00,2025-08-03,Serie A Brazil,Brazil,2025-2026,Internacional,Sao Paulo,full,strict_module_weights_v1,2025-08-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,2.3438816841376964,1.462100872876138,1.3787539318457038,0.8600593369859635,1.7,1.3734177215189871,0.879746835443038,1.237283105804865,0.8524604603061567,1.4294947244549214,0.7976643998746242,1.3931394061755684,0.8939938272379058,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.8059825570138335,56.0,0.7070061761910177,0.2929938238089823,0.7070061761910177,0.2929938238089823,OU25_OVER,,,,,,,0.6747505265836564,0.3252494734163436,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,7.880608622691681,6.893324913322855,8.0,8.0,8.0,8.0,0,0,0,0,0,0,2025-08-03,2025-08-03,2025-08-03,1,2,
2025-08-04T23:00:00,2025-08-04,Serie A Brazil,Brazil,2025-2026,Santos,Juventude,full,strict_module_weights_v1,2025-08-03T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,2.57185171935706,1.3784436550718164,1.5128539525629765,0.8108492088657744,1.7,1.3734177215189871,0.879746835443038,2.2475333144056484,0.653240101350469,1.589660643036792,0.780019077734387,1.365273487022474,0.7944867804796624,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.950295374428876,56.0,0.7285257458976289,0.2714742541023711,0.7285257458976289,0.2714742541023711,OU25_OVER,,,,,,,0.6712971721380332,0.3287028278619668,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.667060975920568,5.442602992363286,7.0,7.0,7.0,7.0,0,0,0,0,0,0,2025-08-04,2025-08-04,2025-08-04,3,1,
