fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_home_raw,mu_away_raw,mu_goal_multiplier,mu_total,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2025-11-01T19:00:00,2025-11-01,Serie A Brazil,Brazil,2025-2026,Santos,Fortaleza EC,full,2025-10-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.464924144744873,0.7798456311225891,0.861720085144043,0.4587327241897583,1.7,2.244769775867462,0.3892645092849618,0.6107354907150382,0.3892645092849618,0.6107354907150382,OU25_UNDER,,,,,,,0.4163796292462248,0.5836203707537752,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,9.625472646063676,10.50905998283089,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-11-01,2025-11-01,2025-11-01,1,1,
2025-11-01T19:00:00,2025-11-01,Serie A Brazil,Brazil,2025-2026,Cruzeiro,Vitoria,full,2025-10-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,3.409879469871521,1.1034246146678923,2.0058114528656006,0.6490733027458191,1.7,4.5133040845394135,0.8270836981132448,0.1729163018867552,0.8270836981132448,0.1729163018867552,OU25_OVER,,,,,,,0.6461839189967976,0.3538160810032024,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,13.72752480672539,10.199935379467114,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-11-01,2025-11-01,2025-11-01,3,1,
2025-11-01T21:00:00,2025-11-01,Serie A Brazil,Brazil,2025-2026,Mirassol,Botafogo,full,2025-10-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,0.4786888897418975,0.396351209282875,0.281581699848175,0.2331477701663971,1.7,0.8750400990247726,0.0588101203560687,0.9411898796439312,0.0588101203560687,0.9411898796439312,OU25_UNDER,,,,,,,0.1244797158740666,0.8755202841259333,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,13.119158226072306,9.565733287660992,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-11-01,2025-11-01,2025-11-01,0,0,
2025-11-02T00:00:00,2025-11-02,Serie A Brazil,Brazil,2025-2026,Flamengo,Sport Recife,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,2.824731945991516,0.2841314509510994,1.661607027053833,0.1671361476182937,1.7,3.108863396942616,0.6005760124351287,0.3994239875648713,0.6005760124351287,0.3994239875648713,OU25_OVER,,,,,,,0.2326594215408848,0.7673405784591152,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,9.639172717863843,3.641695979120506,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,3,0,
2025-11-02T19:00:00,2025-11-02,Serie A Brazil,Brazil,2025-2026,Bahia,RB Bragantino,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,2.518245255947113,1.026549369096756,1.4813207387924194,0.6038525700569153,1.7,3.544794625043869,0.6872928190577374,0.3127071809422626,0.6872928190577374,0.3127071809422626,OU25_OVER,,,,,,,0.5900326476179523,0.4099673523820477,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,11.845271793925498,12.993802344073034,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,2,1,
2025-11-02T19:00:00,2025-11-02,Serie A Brazil,Brazil,2025-2026,Ceara,Fluminense,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,2.42834734916687,0.4596589028835297,1.4284396171569824,0.270387589931488,1.7,2.8880062520504,0.551208884879059,0.448791115120941,0.551208884879059,0.448791115120941,OU25_OVER,,,,,,,0.3360056698182818,0.6639943301817182,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,12.831237248098008,13.60976469639964,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,2,0,
2025-11-02T19:00:00,2025-11-02,Serie A Brazil,Brazil,2025-2026,Corinthians,Gremio,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,2.431439471244812,0.1377281695604324,1.4302585124969482,0.0810165703296661,1.7,2.569167640805244,0.4737546139611258,0.5262453860388743,0.4737546139611258,0.5262453860388743,OU25_UNDER,,,,,,,0.1173535646772524,0.8826464353227476,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,11.667862041811988,13.704112776029485,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,2,0,
2025-11-02T21:30:00,2025-11-02,Serie A Brazil,Brazil,2025-2026,Internacional,Atletico-MG,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.8549198150634765,0.5461227566003799,1.0911293029785156,0.3212486803531647,1.7,2.401042571663856,0.4305594827351388,0.5694405172648612,0.4305594827351388,0.5694405172648612,OU25_UNDER,,,,,,,0.3549668067779101,0.6450331932220899,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,13.483740073443068,13.419446476340555,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,0,0,
2025-11-02T21:30:00,2025-11-02,Serie A Brazil,Brazil,2025-2026,Juventude,Palmeiras,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,0.6497404098510742,1.752571141719818,0.3822002410888672,1.0309242010116575,1.7,2.402311551570892,0.4308926395044128,0.5691073604955872,0.4308926395044128,0.5691073604955872,OU25_UNDER,,,,,,,0.3949994640351706,0.6050005359648294,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,5.292020452137156,8.581149999070199,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,0,2,
2025-11-02T23:30:00,2025-11-02,Serie A Brazil,Brazil,2025-2026,Vasco DA Gama,Sao Paulo,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,0.9522661924362182,1.3052716076374054,0.5601565837860107,0.7678068280220032,1.7,2.2575378000736235,0.3926707579757477,0.6073292420242522,0.3926707579757477,0.6073292420242522,OU25_UNDER,,,,,,,0.4476432543619955,0.5523567456380045,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,14.031937254377306,13.024969878224102,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,0,2,
