fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_total,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-02-20T20:15:00,2026-02-20,Liga Profesional Argentina,Argentina,2025-2026,Defensa Y Justicia,Belgrano Cordoba,full,2026-02-19T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,0.8590332269668579,0.3131464123725891,1.172179639339447,0.1145364621857051,0.8854635378142949,0.1145364621857051,0.8854635378142949,OU25_UNDER,2.55,2.55,2.55,2.55,-0.707932021426452,1.257932021426452,0.1549769517880472,0.8450230482119527,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,14.876087228117417,14.019126458007252,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-20,2026-02-20,2026-02-20,1,1,
2026-02-20T20:45:00,2026-02-20,Liga Profesional Argentina,Argentina,2025-2026,Estudiantes L.P.,Sarmiento Junin,full,2026-02-19T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.2479324340820312,0.2843528091907501,1.5322852432727814,0.199299882709004,0.800700117290996,0.199299882709004,0.800700117290996,OU25_UNDER,2.55,2.55,2.55,2.55,-0.4917852990920397,1.0417852990920395,0.1764425098443323,0.8235574901556677,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,11.942954327982836,14.39726101459435,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-20,2026-02-20,2026-02-20,1,0,
2026-02-20T23:00:00,2026-02-20,Liga Profesional Argentina,Argentina,2025-2026,Boca Juniors,Racing Club,full,2026-02-19T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,0.5876538157463074,0.2723285555839538,0.8599823713302612,0.0564304302095244,0.9435695697904756,0.0564304302095244,0.9435695697904756,OU25_UNDER,2.37,2.37,2.37,2.37,-0.8662598804034269,1.236259880403427,0.1059361858889808,0.8940638141110192,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,19.01821379850242,12.75693493642721,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-20,2026-02-20,2026-02-20,0,0,
2026-02-20T23:00:00,2026-02-20,Liga Profesional Argentina,Argentina,2025-2026,Instituto Cordoba,Atletico Tucuman,full,2026-02-19T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.2883493900299072,0.539129376411438,1.8274787664413448,0.2767478441980773,0.7232521558019227,0.2767478441980773,0.7232521558019227,OU25_UNDER,2.37,2.37,2.37,2.37,-0.3441076092505567,0.7141076092505569,0.301837167463395,0.6981628325366049,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,12.484875541746488,11.849604567390845,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-20,2026-02-20,2026-02-20,2,1,
2026-02-21T00:00:00,2026-02-21,Liga Profesional Argentina,Argentina,2025-2026,Rosario Central,Talleres Cordoba,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,0.7259343266487122,0.3092099130153656,1.0351442396640778,0.0868780698999577,0.9131219301000424,0.0868780698999577,0.9131219301000424,OU25_UNDER,2.6,2.6,2.6,2.6,-0.7741170182601098,1.37411701826011,0.1372762118473764,0.8627237881526235,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,17.087620027858684,13.148306824621017,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,1,
2026-02-21T20:00:00,2026-02-21,Liga Profesional Argentina,Argentina,2025-2026,Platense,Barracas Central,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,0.7159498929977417,0.1874981671571731,0.9034480601549147,0.0634258892643825,0.9365741107356176,0.0634258892643825,0.9365741107356176,OU25_UNDER,3.4,3.4,3.4,3.4,-0.7843519765010994,2.1843519765010995,0.0874119072736922,0.9125880927263076,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,14.238863480175736,15.178961554762756,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,1,0,
2026-02-21T20:00:00,2026-02-21,Liga Profesional Argentina,Argentina,2025-2026,Independ. Rivadavia,Independiente,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,0.7357611060142517,0.2653255760669708,1.0010866820812223,0.0805013891983277,0.9194986108016724,0.0805013891983277,0.9194986108016724,OU25_UNDER,2.8,2.8,2.8,2.8,-0.7745961102446823,1.5745961102446824,0.1213830402333484,0.8786169597666516,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,15.090994028527454,14.460032357504918,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,3,2,
2026-02-21T22:15:00,2026-02-21,Liga Profesional Argentina,Argentina,2025-2026,Banfield,Newells Old Boys,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,0.5468924641609192,0.4086908102035522,0.9555832743644714,0.0723154944558144,0.9276845055441856,0.0723154944558144,0.9276845055441856,OU25_UNDER,2.7,2.7,2.7,2.7,-0.8047481649693009,1.504748164969301,0.1413226044582126,0.8586773955417873,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,14.21898450232773,13.18010272965755,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,3,0,
2026-02-21T22:15:00,2026-02-21,Liga Profesional Argentina,Argentina,2025-2026,Deportivo Riestra,Huracan,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,0.5229963064193726,0.2773445248603821,0.8003408312797546,0.0474716151025091,0.9525283848974908,0.0474716151025091,0.9525283848974908,OU25_UNDER,3.75,3.75,3.75,3.75,-0.8219814433655905,2.5719814433655905,0.0986406230404699,0.90135937695953,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,14.78666502237122,16.607036440634296,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,0,
2026-02-22T00:00:00,2026-02-22,Liga Profesional Argentina,Argentina,2025-2026,Central Cordoba de Santiago,Tigre,full,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,0.7101691961288452,0.3583928942680359,1.068562090396881,0.0933349783060949,0.9066650216939052,0.0933349783060949,0.9066650216939052,OU25_UNDER,3.0,3.0,3.0,3.0,-0.7199950650817151,1.719995065081715,0.1531426000746473,0.8468573999253526,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,14.309810472649124,16.873226597179265,9.0,10.0,9.0,10.0,0,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,0,0,
