fixture_datetime,league,home,away,market,odds,p_model,ev,ev_min_req,score,eligible,reasons,mu_total,is_low_scoring,selected
2026-03-10T22:45:00,Liga Profesional Argentina,Independiente,Union Santa Fe,OU25_OVER,,0.1312712932912366,,0.04,,False,G1_FAIL_MISSING_ODDS_OU25|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),1.2157673835754397,1,False
2026-03-10T22:45:00,Liga Profesional Argentina,Independiente,Union Santa Fe,OU25_UNDER,,0.8687287067087633,,0.02,,False,G1_FAIL_MISSING_ODDS_OU25|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.020),1.2157673835754397,1,False
2026-03-10T22:45:00,Liga Profesional Argentina,Independiente,Union Santa Fe,BTTS_YES,,0.1650624607941162,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),1.2157673835754397,1,False
2026-03-10T22:45:00,Liga Profesional Argentina,Independiente,Union Santa Fe,BTTS_NO,,0.8349375392058838,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),1.2157673835754397,1,False
2026-03-10T22:45:00,Liga Profesional Argentina,Tigre,Velez Sarsfield,OU25_OVER,,0.1732289243408232,,0.04,,False,G1_FAIL_MISSING_ODDS_OU25|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),1.4016586542129517,1,False
2026-03-10T22:45:00,Liga Profesional Argentina,Tigre,Velez Sarsfield,OU25_UNDER,,0.8267710756591768,,0.02,,False,G1_FAIL_MISSING_ODDS_OU25|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.020),1.4016586542129517,1,False
2026-03-10T22:45:00,Liga Profesional Argentina,Tigre,Velez Sarsfield,BTTS_YES,,0.15030913462348516,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),1.4016586542129517,1,False
2026-03-10T22:45:00,Liga Profesional Argentina,Tigre,Velez Sarsfield,BTTS_NO,,0.8496908653765148,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),1.4016586542129517,1,False
2026-03-11T00:30:00,Serie A Brazil,Mirassol,Santos,OU25_OVER,2.0,0.1907733449671508,-0.6184533100656984,0.04,,False,G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(-0.618<0.040),1.474217990040779,1,False
2026-03-11T00:30:00,Serie A Brazil,Mirassol,Santos,OU25_UNDER,1.77,0.8092266550328492,0.43233117940814303,0.02,,False,G2_FAIL_LOW_MU_TOTAL,1.474217990040779,1,False
2026-03-11T00:30:00,Serie A Brazil,Mirassol,Santos,BTTS_YES,1.77,0.18684858837048637,-0.6692779985842392,0.04,,False,G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(-0.669<0.040),1.474217990040779,1,False
2026-03-11T00:30:00,Serie A Brazil,Mirassol,Santos,BTTS_NO,1.95,0.8131514116295137,0.5856452526775515,0.04,,False,G2_FAIL_LOW_MU_TOTAL,1.474217990040779,1,False
2026-03-11T01:00:00,Liga Profesional Argentina,Newells Old Boys,Platense,OU25_OVER,,0.0725408047907126,,0.04,,False,G1_FAIL_MISSING_ODDS_OU25|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),0.9103506505489348,1,False
2026-03-11T01:00:00,Liga Profesional Argentina,Newells Old Boys,Platense,OU25_UNDER,,0.9274591952092874,,0.02,,False,G1_FAIL_MISSING_ODDS_OU25|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.020),0.9103506505489348,1,False
2026-03-11T01:00:00,Liga Profesional Argentina,Newells Old Boys,Platense,BTTS_YES,,0.13077513618441752,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),0.9103506505489348,1,False
2026-03-11T01:00:00,Liga Profesional Argentina,Newells Old Boys,Platense,BTTS_NO,,0.8692248638155825,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),0.9103506505489348,1,False
2026-03-11T01:00:00,Liga Profesional Argentina,Sarmiento Junin,Racing Club,OU25_OVER,,0.1629159974182719,,0.04,,False,G1_FAIL_MISSING_ODDS_OU25|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),1.3561318814754486,1,False
2026-03-11T01:00:00,Liga Profesional Argentina,Sarmiento Junin,Racing Club,OU25_UNDER,,0.837084002581728,,0.02,,False,G1_FAIL_MISSING_ODDS_OU25|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.020),1.3561318814754486,1,False
2026-03-11T01:00:00,Liga Profesional Argentina,Sarmiento Junin,Racing Club,BTTS_YES,,0.19226271922000765,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),1.3561318814754486,1,False
2026-03-11T01:00:00,Liga Profesional Argentina,Sarmiento Junin,Racing Club,BTTS_NO,,0.8077372807799923,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),1.3561318814754486,1,False
2026-03-11T20:30:00,Liga Profesional Argentina,Argentinos JRS,Rosario Central,OU25_OVER,,0.295325180714898,,0.04,,False,G1_FAIL_MISSING_ODDS_OU25|G4_FAIL_LOW_EV(nan<0.040),1.8892357051372528,1,False
2026-03-11T20:30:00,Liga Profesional Argentina,Argentinos JRS,Rosario Central,OU25_UNDER,,0.704674819285102,,0.02,,False,G1_FAIL_MISSING_ODDS_OU25|G4_FAIL_LOW_EV(nan<0.020),1.8892357051372528,1,False
