season,date,time,country,league,home,away,code_home,code_away,ft_home,ft_away,ht_home,ht_away,result,validated,elo_home,elo_away,elo_diff,p_home,p_draw,p_away,fair_home,fair_draw,fair_away,odds_home,odds_draw,odds_away,p_over,p_under,fair_over,fair_under,odds_over,odds_under,shots,shots_on_target,corners,possession_home,possession_away,form_home,form_away,home_bonus_elo,EloDiff,Band_H,Band_A,lg_avg_gf_home,lg_avg_gf_away,lg_avg_shots_home,lg_avg_shots_away,lg_avg_sot_home,lg_avg_sot_away,lg_avg_cor_home,lg_avg_cor_away,lg_avg_poss_home,lg_avg_poss_away,datetime,elo_home_calc,elo_away_calc,EloDiff_calc,Band_H_calc,Band_A_calc,home_name_calc,away_name_calc,shots_H,shots_A,sot_H,sot_A,corners_H,corners_A,pos_H,pos_A,_stats_src,pressure_usable,xg_usable,xg_proxy_H,xg_proxy_A,shot_quality_H,shot_quality_A,finishing_luck_H,finishing_luck_A
2018-2019,8/10/2018,2300,England,Premier L,Man Utd,Leicester,1020,1042,2,1,1,0,2-1 (1-0),192,1500.0,1500.0,0.0,73.317,16.299,10.384,1.364,6.135,9.63,1.591,3.88,7.37,59.953,40.048,1.668,2.497,2.12,1.813,,,,,,0,0,47.67456308768347,65.0,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-10,1500.0,1500.0,65.0,PEER,PEER,Man Utd,Leicester,,,,,,,,,none,0,0,,,,,,
2018-2019,8/11/2018,1530,England,Premier L,Newcastle,Tottenham,1016,1001,1,2,1,2,1-2 (1-2),171,1500.0,1500.0,0.0,17.198,21.082,61.719,5.815,4.743,1.62,3.98,3.53,2.05,54.141,45.859,1.847,2.181,2.04,1.884,,,,,,0,0,47.67456308768347,65.0,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-11,1500.0,1500.0,65.0,PEER,PEER,Newcastle,Tottenham,,,,,,,,,none,0,0,,,,,,
2018-2019,8/11/2018,1800,England,Premier L,Fulham,C Palace,1010,1012,0,2,0,1,0-2 (0-1),286,1500.0,1500.0,0.0,40.408,27.799,31.793,2.475,3.597,3.145,2.53,3.44,2.97,41.189,58.811,2.428,1.7,1.952,1.97,,,,,,0,0,47.67456308768347,65.0,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-11,1500.0,1500.0,65.0,PEER,PEER,Fulham,C Palace,,,,,,,,,none,0,0,,,,,,
2018-2019,8/11/2018,1800,England,Premier L,Huddersfield,Chelsea,1064,1019,0,3,0,2,0-3 (0-2),77,1500.0,1500.0,0.0,30.617,27.646,41.737,3.266,3.617,2.396,6.5,4.13,1.598,41.006,58.994,2.439,1.695,2.01,1.909,,,,,,0,0,47.67456308768347,65.0,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-11,1500.0,1500.0,65.0,PEER,PEER,Huddersfield,Chelsea,,,,,,,,,none,0,0,,,,,,
2018-2019,8/11/2018,1800,England,Premier L,Watford,Brighton,1025,1036,2,0,1,0,2-0 (1-0),232,1500.0,1500.0,0.0,45.235,25.679,29.086,2.211,3.894,3.438,2.48,3.15,3.32,45.587,54.413,2.194,1.838,2.56,1.558,,,,,,0,0,47.67456308768347,65.0,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-11,1500.0,1500.0,65.0,PEER,PEER,Watford,Brighton,,,,,,,,,none,0,0,,,,,,
2018-2019,8/11/2018,1800,England,Premier L,Bournemouth,Cardiff,1063,1039,2,0,1,0,2-0 (1-0),230,1500.0,1500.0,0.0,49.14,25.502,25.358,2.035,3.921,3.944,1.917,3.61,4.49,43.549,56.451,2.296,1.771,2.01,1.909,,,,,,0,0,47.67456308768347,65.0,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-11,1500.0,1500.0,65.0,PEER,PEER,Bournemouth,Cardiff,,,,,,,,,none,0,0,,,,,,
2018-2019,8/11/2018,2030,England,Premier L,Wolves,Everton,1031,1017,2,2,1,1,2-2 (1-1),283,1500.0,1500.0,0.0,42.001,27.166,30.832,2.381,3.681,3.243,2.39,3.36,3.26,42.485,57.515,2.354,1.739,2.14,1.793,,,,,,0,0,47.67456308768347,65.0,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-11,1500.0,1500.0,65.0,PEER,PEER,Wolves,Everton,,,,,,,,,none,0,0,,,,,,
2018-2019,8/12/2018,1630,England,Premier L,Liverpool,West Ham,1002,1022,4,0,2,0,4-0 (2-0),200,1500.0,1500.0,0.0,70.948,17.29,11.763,1.409,5.784,8.502,1.253,6.95,12.0,59.93,40.07,1.669,2.496,1.512,2.63,,,,,,0,0,47.67456308768347,65.0,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-12,1500.0,1500.0,65.0,PEER,PEER,Liverpool,West Ham,,,,,,,,,none,0,0,,,,,,
2018-2019,8/12/2018,1630,England,Premier L,Southampton,Burnley,1004,1030,0,0,0,0,0-0 (0-0),335,1500.0,1500.0,0.0,44.75,26.401,28.849,2.235,3.788,3.466,2.02,3.19,4.65,44.988,55.012,2.223,1.818,2.64,1.529,,,,,,0,0,47.67456308768347,65.0,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-12,1500.0,1500.0,65.0,PEER,PEER,Southampton,Burnley,,,,,,,,,none,0,0,,,,,,
2018-2019,8/12/2018,1900,England,Premier L,Arsenal,Man City,1018,1009,0,2,0,1,0-2 (0-1),20,1500.0,1500.0,0.0,21.25,17.0,61.75,4.706,5.882,1.619,4.39,4.09,1.819,65.0,35.0,1.538,2.857,1.531,2.63,,,,,,0,0,47.67456308768347,65.0,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-12,1500.0,1500.0,65.0,PEER,PEER,Arsenal,Man City,,,,,,,,,none,0,0,,,,,,
